No,순번,본부명,소방서,주소,전화번호,주소(정),경도,위도,상태
68,68,세종소방본부,조치원소방서,세종특별자치시 조치원읍 세종로 2439,044-300-8119,세종특별자치시 조치원읍 세종로 2439,127.288913224767,36.6047990346054,정좌표
69,69,세종소방본부,세종소방서,세종특별자치시 어진동 610,044-300-8454,세종특별자치시 어진동 610,127.271752980549,36.504123913377,정좌표
70,70,경기재난안전본부,수원소방서,경기도 수원시 장안구 정자천로 189번길 12 ,031-8012-9212,경기도 수원시 장안구 정자천로 189번길 12 ,126.995993139674,37.2971991578539,정좌표
71,71,경기재난안전본부,성남소방서,경기도 성남시 수정구 제일로 111,031-720-0212,경기도 성남시 수정구 제일로 111,127.133433178913,37.4364295926771,정좌표
72,72,경기재난안전본부,분당소방서,경기도 성남시 분당구 양현로 14,031-8018-3212,경기도 성남시 분당구 양현로 14,127.119486972496,37.3860403913578,정좌표
73,73,경기재난안전본부,부천소방서,경기도 부천시 원미구 신흥로 115 ,031-650-4212,경기도 부천시 원미구 신흥로 115 ,126.777827962778,37.4932097311295,정좌표
74,74,경기재난안전본부,안양소방서,경기도 안양시 동안구 동안로 82 ,031-470-0212,경기도 안양시 동안구 동안로 82 ,126.955195396007,37.3867823146304,인근좌표
75,75,경기재난안전본부,안산소방서,경기도 안산시 단원구 화랑로 407,031-470-7212,경기도 안산시 단원구 화랑로 407,126.832951782978,37.3217235661047,정좌표
76,76,경기재난안전본부,용인소방서,경기도 용인시 처인구 명지로 75,031-8021-0212,경기도 용인시 처인구 명지로 75,127.188450093222,37.2294629930671,정좌표
77,77,경기재난안전본부,평택소방서,경기도 평택시 남부문예회관앞길 11,031-8053-6212,경기도 평택시 남부문예회관앞길 11,127.433049281431,37.1025803720011,인근좌표
78,78,경기재난안전본부,송탄소방서,경기도 평택시 경기대로 1637 ,031-685-8212,경기도 평택시 경기대로 1637 ,127.062058236186,37.0900540551189,인근좌표
79,79,경기재난안전본부,광명소방서,경기도 광명시 금하로 472,02-2610-3213,경기도 광명시 금하로 472,126.88521520719,37.4486864275472,정좌표
80,80,경기재난안전본부,시흥소방서,경기도 시흥시 정왕중앙로 64,031-310-0212,경기도 시흥시 정왕중앙로 64,127.199713296683,37.8927500627115,정좌표
81,81,경기재난안전본부,군포소방서,경기도 군포시 당산로 310,031-479-8212,경기도 군포시 당산로 310,126.93934699009,37.3697646632522,인근좌표
82,82,경기재난안전본부,화성소방서,경기도 화성시 향남읍 향남로 399,031-8012-6212,경기도 화성시 향남읍 향남로 399,126.920621285938,37.1310105018896,정좌표
83,83,경기재난안전본부,이천소방서,경기도 이천시 경충대로 2739,031-645-5212,경기도 이천시 경충대로 2739,127.431294360253,37.2820992897944,정좌표
84,84,경기재난안전본부,김포소방서,경기도 김포시 감암로 111,031-980-4212,경기도 김포시 감암로 111,126.70853566977,37.6415647165561,정좌표
85,85,경기재난안전본부,광주소방서,경기도 광주시 초월읍 무들로 112,031-799-2212,경기도 광주시 초월읍 무들로 112,127.299506083286,37.3855778086279,정좌표
86,86,경기재난안전본부,안성소방서,경기도 안성시 미양로 855,031-678-4212,경기도 안성시 미양로 855,127.255718815458,37.0004756435509,정좌표
87,87,경기재난안전본부,하남소방서,경기도 하남시 시청길 52,031-799-4212,경기도 하남시 시청길 52,127.280304086576,37.0073420099569,인근좌표
88,88,경기재난안전본부,의왕소방서,경기도 의왕시 오봉로 9,031-596-0212,경기도 의왕시 오봉로 9,126.974762404818,37.3442019014818,정좌표
89,89,경기재난안전본부,오산소방서,경기도 오산시 청학로 67,031-8059-7212,경기도 오산시 청학로 67,127.064634404582,37.1550196619629,정좌표
90,90,경기재난안전본부,여주소방서,경기도 여주시 우암로 110 ,031-887-7212,경기도 여주시 우암로 110 ,127.625960532511,37.2914087303953,정좌표
91,91,경기재난안전본부,양평소방서,경기도 양평군 양평읍 경강로 2047,031-770-0212,경기도 양평군 양평읍 경강로 2047,127.507339658147,37.5003383087525,정좌표
92,92,경기재난안전본부,과천소방서,경기도 과천시 통영길 8,02-331-4212,경기도 과천시 통영길 8,129.403684418382,36.5977243659288,인근좌표
93,93,경기북부소방재난본부,고양소방서,경기도 고양시 덕양구 고양대로 1342,031-931-0212,경기도 고양시 덕양구 고양대로 1342,126.833531629555,37.6548171400772,정좌표
94,94,경기북부소방재난본부,일산소방서,경기도 고양시 일산동구 중앙로 1325,031-930-0212,경기도 고양시 일산동구 중앙로 1325,126.76962652301,37.663281925407,정좌표
95,95,경기북부소방재난본부,의정부소방서,경기도 의정부시 의정로 48 ,031-849-7111,경기도 의정부시 의정로 48 ,127.0357888712,37.7373116873371,정좌표
96,96,경기북부소방재난본부,남양주소방서,경기도 남양주시 평내로 25 ,031-590-0212,경기도 남양주시 평내로 25 ,127.232240434152,37.6433220225028,정좌표
97,97,경기북부소방재난본부,파주소방서,경기도 파주시 파주읍 통일로1564,031-956-9212,경기도 파주시 파주읍 통일로1564,126.789974040238,37.8475313715969,정좌표
98,98,경기북부소방재난본부,구리소방서,경기도 구리시 아차산로 487번길 46,031-570-6214,경기도 구리시 아차산로 487번길 46,127.127833123057,37.598289419226,정좌표
99,99,경기북부소방재난본부,포천소방서,경기도 포천시 군내면 호국로 1538,031-538-5212,경기도 포천시 군내면 호국로 1538,127.202616271935,37.8913503171125,정좌표
100,100,경기북부소방재난본부,양주소방서,경기도 양주시 백석읍 꿈나무로 156,031-849-8435,경기도 양주시 백석읍 꿈나무로 156,126.989397922811,37.7958710296519,정좌표
101,101,경기북부소방재난본부,동두천소방서,경기도 동두천시 지행로 6(지행동),031-830-5504,경기도 동두천시 지행로 6(지행동),127.047601020587,37.892263750205,정좌표
102,102,경기북부소방재난본부,가평소방서,경기도 가평군 가평읍 가화로36,031-580-0212,경기도 가평군 가평읍 가화로36,127.516447439974,37.8232633131636,정좌표
103,103,경기북부소방재난본부,연천소방서,경기도 연천군 전곡읍 평화로 892,031-830-0212,경기도 연천군 전곡읍 평화로 892,127.069010423922,38.0481565554784,정좌표
104,104,강원소방본부,춘천소방서,강원도 춘천시 후석로 446,033-241-0119,강원도 춘천시 후석로 446,127.743321691362,37.8893811069601,정좌표
105,105,강원소방본부,원주소방서,강원도 원주시 남원로 487,033-763-4119,강원도 원주시 남원로 487,127.944423031508,37.3283397283574,정좌표
106,106,강원소방본부,강릉소방서,강원도 강릉시 선수촌로 64-28(홍제동),033-643-3119,강원도 강릉시 선수촌로 64-28(홍제동),128.872661829929,37.7570288036781,정좌표
107,107,강원소방본부,동해소방서,강원도 동해시 천곡로 120,033-533-2119,강원도 동해시 천곡로 120,129.118898233184,37.5245566732594,정좌표
108,108,강원소방본부,태백소방서,강원도 태백시 태백로 1120,033-553-1119,강원도 태백시 태백로 1120,128.989421304606,37.1581175814233,정좌표
109,109,강원소방본부,속초소방서,강원도 속초시 미시령로 3226,033-636-2119,강원도 속초시 미시령로 3226,128.560249058444,38.2032803714329,정좌표
110,110,강원소방본부,삼척소방서,강원도 삼척시 봉황로 101,033-572-9119,강원도 삼척시 봉황로 101,129.171313464601,37.4464963660703,정좌표
111,111,강원소방본부,홍천소방서,강원도 홍천군 홍천읍 공작산로 99,033-432-3119,강원도 홍천군 홍천읍 공작산로 99,127.902784850679,37.6916611560205,정좌표
112,112,강원소방본부,횡성소방서,강원도 횡성군 횡성읍 문예로 157,033-343-0119,강원도 횡성군 횡성읍 문예로 157,127.973961792477,37.4853794311027,정좌표
113,113,강원소방본부,영월소방서,강원도 영월군 영월읍 영월로 1863,033-373-1119,강원도 영월군 영월읍 영월로 1863,128.45837558996,37.1850307652301,정좌표
114,114,강원소방본부,평창소방서,강원도 평창군 평창읍 살구실길 10,033-339-9118,강원도 평창군 평창읍 살구실길 10,128.389301779013,37.3782385721797,정좌표
115,115,강원소방본부,정선소방서,강원도 정선군 정선읍 녹송로 27,033-563-0119,강원도 정선군 정선읍 녹송로 27,128.671902849736,37.3796649460256,정좌표
116,116,강원소방본부,철원소방서,강원도 철원군 갈말읍 태봉로 1504,033-452-7119,강원도 철원군 갈말읍 태봉로 1504,127.324210636073,38.1858432351025,정좌표
117,117,강원소방본부,인제소방서,강원도 인제군 인제읍 비봉로 44번길 71,033-460-9211,강원도 인제군 인제읍 비봉로 44번길 71,128.168633555161,38.0613538696572,정좌표
118,118,강원소방본부,고성소방서,강원도 고성군 간성읍 수성로 37-11,033-681-1119,강원도 고성군 간성읍 수성로 37-11,128.473885317207,38.3769108960005,정좌표
119,119,강원소방본부,양양소방서,강원도 양양군 양양읍 남대천로 33,033-671-0119,강원도 양양군 양양읍 남대천로 33,128.622504258124,38.0674092785278,정좌표
120,120,충북소방본부,청주동부소방서,충북 청주시 상당구 영운로 61,043-251-0114,충청북도 청주시 상당구 영운로 61,127.494865277547,36.6209875203366,정좌표
121,121,충북소방본부,청주서부소방서,충북 청주시 흥덕구 풍산로 64,043-249-9113,충청북도 청주시 흥덕구 풍산로 64,127.43705452981,36.627920487527,인근좌표
122,122,충북소방본부,충주소방서,충북 충주시 도매시장4길 9번,043-841-3115,충청북도 충주시 도매시장4길 9번,126.455849689564,36.7816205518453,정좌표
123,123,충북소방본부,제천소방서,충북 제천시 신죽하로 2164,043-641-7114,충청북도 제천시 신죽하로 2164,128.21175796544,37.1605113270916,인근좌표
124,124,충북소방본부,보은소방서,충북 보은군 보은읍 남부로 4415,043-773-0113,충청북도 보은군 보은읍 남부로 4415,127.722058851565,36.476975347073,정좌표
125,125,충북소방본부,옥천소방서,충북 옥천군 옥천읍 중앙로 132,043-730-1813,충청북도 옥천군 옥천읍 중앙로 132,127.574199302195,36.3079622304408,정좌표
126,126,충북소방본부,영동소방서,충북 영동군 영동읍 영동황간로 174,043-740-7013,충청북도 영동군 영동읍 영동황간로 174,127.789063602822,36.1656374195898,정좌표
127,127,충북소방본부,증평소방서,충북 증평군 충청대로 1789,043-830-0113,충청북도 증평군 충청대로 1789,127.58401888408,36.7879372259767,정좌표
128,128,충북소방본부,진천소방서,충북 진천군 진천읍 진광로 93,043-539-8113,충청북도 진천군 진천읍 진광로 93,127.441142541723,36.872667853403,정좌표
129,129,충북소방본부,괴산소방서,충북 괴산군 괴산읍 괴강로 69,043-760-0113,충청북도 괴산군 괴산읍 괴강로 69,127.801430435167,36.8075840941793,정좌표
130,130,충북소방본부,단양소방서,충북 단양군 단양읍 별곡리 산28-4,043-422-0119,충청북도 단양군 단양읍 별곡리 산28-4,128.355525524164,36.9883915065296,정좌표
131,131,충북소방본부,음성소방서,충북 음성군 금왕읍 응천서길 11,043-880-0113,충청북도 음성군 금왕읍 응천서길 11,127.594991916706,36.9893217979277,정좌표
132,132,충남소방본부,천안동남소방서,충남 천안시 동남구 천안대로 580,041-570-0211,충청남도 천안시 동남구 천안대로 580,127.164996381468,36.7999748428367,정좌표
133,133,충남소방본부,천안서북소방서,충청남도 천안시 서북구 직산읍 4산단 2길 32번지,041-360-0212,충청남도 천안시 서북구 직산읍 4산단 2길 32번지,127.116073079648,36.8625947600631,정좌표
134,134,충남소방본부,공주소방서,충남 공주시 봉황로 134,041-851-0211,충청남도 공주시 봉황로 134,127.121748688982,36.4580101369799,정좌표
135,135,충남소방본부,보령소방서,충남 보령시 대천로 122,041-930-0211,충청남도 보령시 대천로 122,126.605364913977,36.3562899276463,정좌표
136,136,충남소방본부,아산소방서,충남 아산시 문화로 293 ,041-538-0211,충청남도 아산시 문화로 293 ,127.016559061282,36.786674666299,정좌표
137,137,충남소방본부,서산소방서,충남 서산시 호수공원14로 26-4,041-689-0211,충청남도 서산시 호수공원14로 26-4,126.444905720561,36.7733029085093,정좌표
138,138,충남소방본부,논산소방서,충남 논산시 대학로 17 ,041-730-0211,충청남도 논산시 대학로 17 ,127.10038234526,36.1782816936354,정좌표
139,139,충남소방본부,계룡소방서,충남 계룡시 두마면 사계로 46,041-540-5212,충청남도 계룡시 두마면 사계로 46,127.264931154498,36.2681828399974,정좌표
140,140,충남소방본부,당진소방서,충남 당진시 역천로 838,041-350-5211,충청남도 당진시 역천로 838,126.617834074244,36.8859328215583,정좌표
141,141,충남소방본부,금산소방서,충남 금산군 금산읍 삼풍로 2,041-750-1211,충청남도 금산군 금산읍 삼풍로 2,127.480100274615,36.0999082997871,정좌표
142,142,충남소방본부,부여소방서,충남 부여군 규암면 계백로 17,041-830-0211,충청남도 부여군 규암면 계백로 17,126.882238623504,36.2749920525557,정좌표
143,143,충남소방본부,서천소방서,충남 서천군 장항읍 장항로 37,041-955-0211,충청남도 서천군 장항읍 장항로 37,126.683024887292,36.0134997591987,정좌표
144,144,충남소방본부,청양소방서,충남 청양군 청양읍 충절로 1187,041-940-7212,충청남도 청양군 청양읍 충절로 1187,126.792452039025,36.4516442015281,정좌표
145,145,충남소방본부,홍성소방서,충남 홍성군 홍성읍 충절로 741 ,041-630-0212,충청남도 홍성군 홍성읍 충절로 741 ,126.695865209938,36.5847606958779,정좌표
146,146,충남소방본부,예산소방서,충남 예산군 오가면 오가중앙로 111,041-330-4211,충청남도 예산군 오가면 오가중앙로 111,126.80181768129,36.6866622234139,정좌표
147,147,충남소방본부,태안소방서,충남 태안군 태안읍 동백로 100 ,041-671-0211,충청남도 태안군 태안읍 동백로 100 ,126.286116553128,36.7580227399203,정좌표
148,148,전북소방본부,전주덕진소방서,전라북도 전주시 덕진구 백제대로 611,063-250-4251,전라남도 전주시 덕진구 백제대로 611,127.136967078552,35.8423158089069,정좌표
149,149,전북소방본부,전주완산소방서,전라북도 전주시 완산구 거마평로 73,063-220-4251,전라남도 전주시 완산구 거마평로 73,127.116298025114,35.7989064508596,정좌표
150,150,전북소방본부,군산소방서,전라북도 군산시 번영로 308 ,063-450-0251,전라남도 군산시 번영로 308 ,126.751105732898,35.9628407439342,정좌표
151,151,전북소방본부,익산소방서,전라북도 익산시 무왕로 1338,063-839-3251,전라남도 익산시 무왕로 1338,127.005108603396,35.962240096547,정좌표
152,152,전북소방본부,정읍소방서,전라북도 정읍시 서부산업도로 507-3,063-570-1251,전라남도 정읍시 서부산업도로 507-3,126.859422802831,35.588458963643,인근좌표
153,153,전북소방본부,남원소방서,전라북도 남원시 요천로 1965,063-620-3751,전라남도 남원시 요천로 1965,127.416194048222,35.4368993753051,정좌표
154,154,전북소방본부,김제소방서,전라북도 김제시 벽성로 278,063-540-4251,전라남도 김제시 벽성로 278,126.870047431872,35.7989537533909,정좌표
155,155,전북소방본부,고창소방서,전라북도 고창군 고창읍 녹두로 1294,063-560-1251,전라남도 고창군 고창읍 녹두로 1294,126.688100727705,35.4324620478115,정좌표
156,156,전북소방본부,부안소방서,전라북도 부안군 행안면 변산로 86,063-580-1251,전라남도 부안군 행안면 변산로 86,126.711889855649,35.7297707994974,정좌표
157,157,전북소방본부,무진장소방서,전라북도 장수군 장계면 육십령로 136,063-350-6251,전라남도 장수군 장계면 육십령로 136,127.589529289475,35.7322553891738,정좌표
158,158,전남소방본부,목포소방서,전남 목포시 삼향천로 110,061-280-0900,전라남도 목포시 삼향천로 110,126.430251301106,34.809948841894,정좌표
159,159,전남소방본부,여수소방서,전남 여수시 망마로 20,061-680-0900,전라남도 여수시 망마로 20,127.665047055616,34.7598713411979,정좌표
160,160,전남소방본부,순천소방서,전남 순천시 서면 삼산로 281,061-750-0900,전라남도 순천시 서면 삼산로 281,127.504002015922,34.9866221424396,정좌표
161,161,전남소방본부,나주소방서,전남 나주시 예향로 4201,061-330-0900,전라남도 나주시 예향로 4201,126.709498515273,35.0278856519499,정좌표
162,162,전남소방본부,광양소방서,전남 광양시 중마중앙로 109,061-798-0900,전라남도 광양시 중마중앙로 109,127.697709159305,34.9400899417822,정좌표
163,163,전남소방본부,담양소방서,전남 담양군 담양읍 추성로 1232,061-380-0900,전라남도 담양군 담양읍 추성로 1232,126.973929373888,35.3183493470485,정좌표
164,164,전남소방본부,고흥소방서,전남 고흥군 풍양면 고흥로 1330,061-840-0900,전라남도 고흥군 풍양면 고흥로 1330,127.25593349072,34.5814344799182,정좌표
165,165,전남소방본부,보성소방서,전남 보성군 벌교읍 녹색로 5247,061-859-0900,전라남도 보성군 벌교읍 녹색로 5247,127.315489987415,34.8384656024886,정좌표
